elektrische Last;PV Einspeisung;Wärmelast
0,433394433;0;3,075630621
1,030247247;0;3,036576765
0,542903496;0;3,008365006
0,58444305;0;2,99539086
0,524573043;0;2,987550416
0,658664807;0;2,987402809
0,607273227;0;3,053126952
0,113535132;0;3,255432325
0,090420762;0,01;3,496874664
0,341978995;0,06;3,776418752
1,011301043;0,1;3,763460947
1,010401098;0,07;3,626746633
0,461103257;0,11;3,395655718
1,090306716;0,2;3,256367897
0,676900529;0,18;3,057357874
0,375324316;0;2,900552026
0,962561931;0;2,864204306
0,553039716;0;2,948906051
0,596189697;0;3,119113585
0,588327022;0;3,232600871
0,701009575;0;3,284906836
0,647912836;0;3,321976399
0,673348116;0;3,259106302
0,660843621;0;3,115611177
0,427947399;0;3,083310412
0,459587561;0;2,997375455
0,307260075;0;2,969163392
0,680074019;0;2,979710123
0,517610313;0;2,987550416
0,258568329;0;3,018763827
0,589321698;0;3,076647678
0,594626635;0;3,255432325
0,208266155;0,92;3,489033008
0,176294435;1,95;3,666653749
1,442942952;3,43;3,590974817
0,59827378;4,15;3,375856063
0,994628383;3,35;3,246688495
0,865415266;2,64;3,256367897
0,649949553;1,41;3,206325097
1,655329907;0,03;3,214163722
1,341675488;0;3,311101428
1,93274971;0;3,466367472
3,592721437;0;3,573850848
2,735926693;0;3,538370912
1,715531472;0;3,386830183
2,14243683;0;3,235733334
0,584727243;0;3,133661926
0,213476362;0;3,060835676
0,191593495;0;3,259156124
0,162795264;0;3,224498089
0,434531205;0;3,192989464
0,500511363;0;3,176718453
0,651796808;0;3,172174874
0,580890637;0;3,172027268
0,150574962;0;3,237751411
0,239195835;0;3,437858874
0,924195866;0,09;3,681499123
0,632329583;0,33;3,961043211
0,761447968;0,62;3,954679136
0,83339618;0,81;3,824558553
0,551855578;0,84;3,595665548
0,823544154;0,57;3,451981907
0,338284485;0,23;3,256268749
0,560760294;0;3,096166035
0,638202906;0;3,059818316
0,324264294;0;3,145619015
0,629819211;0;3,312529684
0,461529547;0;3,423819061
0,736249516;0;3,476125025
0,48587542;0;3,506600858
0,991312797;0;3,44373076
0,301434117;0;3,303532501
0,252837102;0;3,397221871
0,522678423;0;3,334753988
0,311617702;0;3,311192444
0,39891234;0;3,357496165
0,153274796;0;3,396590687
0,281303775;0;3,560982221
0,600689421;0;3,827109191
0,504016411;0;3,986916995
0,503495391;0,03;3,929327448
1,19380036;0,06;3,765272795
0,566538887;0,11;3,601152888
0,276756686;0,35;3,462240663
0,859210384;0,39;3,354394092
0,54835053;0,21;3,315930663
0,554602778;0,09;3,264789514
0,577717148;0;3,233428344
1,179353879;0;3,229540749
1,045404211;0;3,362381688
0,939684389;0;3,486793271
0,987760383;0;3,665202626
0,618309391;0;3,660282239
0,937126651;0;3,71852686
0,477918014;0;3,624442139
0,743070149;0;3,495635341
0,242558786;0;3,601627522
0,444620059;0;3,539159638
0,460961161;0;3,515598094
0,272730617;0;3,561901816
0,293903001;0;3,600996338
0,667758986;0;3,769783692
0,402322657;0;4,035910662
0,090468128;0;4,196817421
0,418900586;0,07;4,138128919
1,443937628;0,3;3,969678445
0,45622461;0,48;3,797865853
0,649475898;0,56;3,653458852
0,466502926;0,51;3,544513326
0,632661141;0,2;3,493961391
0,380581887;0,05;3,446117107
0,427568475;0;3,411459072
0,220533823;0;3,415264163
0,923438018;0;3,552500922
3,021919654;0;3,681308326
0,961188331;0;3,864113501
1,038157288;0;3,86468789
0,368408951;0;3,926229376
